scope,direction,transport,source_id,destination_id,route_class,estimate,ci_low,ci_high
comforting,induction,rms,layer_10.head_02,layer_11.head_08,earlier_to_later,-0.0018184158240849829,-0.0036664683776620457,-1.013339991166493e-05
comforting,induction,rms,layer_10.head_02,layer_11.head_09,earlier_to_later,0.0005350951834858252,-0.00175508990593299,0.0037940693450959715
comforting,induction,rms,layer_10.head_02,layer_11.head_14,earlier_to_later,0.0033756302101458193,0.0017115299324552435,0.005610827088939177
comforting,induction,rms,layer_10.head_02,layer_11.head_15,earlier_to_later,-0.0007392361282595384,-0.0017030588322587109,-0.00012771778582687456
comforting,induction,rms,layer_10.head_02,layer_12.head_02,earlier_to_later,0.0011412140873331676,0.0005252861372257406,0.001949283174263938
comforting,induction,rms,layer_10.head_02,layer_12.head_03,earlier_to_later,-0.0017051857480529513,-0.0031093318813785855,-0.0007348266420130253
comforting,induction,rms,layer_10.head_02,layer_12.head_12,earlier_to_later,0.0030535766314730675,0.0012093556098354522,0.00572400758737491
comforting,induction,rms,layer_10.head_12,layer_09.head_04,later_to_earlier,-0.0007653596499215506,-0.003113040828798723,0.0009200520894996158
comforting,induction,rms,layer_10.head_12,layer_09.head_11,later_to_earlier,0.007204716959630865,0.003413694421498346,0.01233459373418484
comforting,induction,rms,layer_10.head_12,layer_09.head_13,later_to_earlier,0.0005317299908618356,0.00016608705142223456,0.0009885592007450748
comforting,induction,rms,layer_10.head_12,layer_10.head_02,within_layer,-0.0027087478344643054,-0.004531021591989068,-0.0012482983443802796
comforting,induction,rms,layer_10.head_12,layer_10.head_12,identity,0.6038750674546819,0.5463178988355278,0.6619130909642454
comforting,induction,rms,layer_10.head_12,layer_11.head_08,earlier_to_later,0.004566878842766661,0.0023581088223594165,0.007406114484181233
comforting,induction,rms,layer_10.head_12,layer_11.head_09,earlier_to_later,0.002464055685222843,0.00090110818663666,0.0051129952794535
comforting,induction,rms,layer_10.head_12,layer_11.head_14,earlier_to_later,-0.0018274009306142802,-0.0028758931619171993,-0.000962482268324959
comforting,induction,rms,layer_10.head_12,layer_11.head_15,earlier_to_later,0.0006551823145007416,0.00010346907788391924,0.0013130487114181354
comforting,induction,rms,layer_10.head_12,layer_12.head_02,earlier_to_later,0.002232735637662905,0.001221982800477099,0.003603047580616797
comforting,induction,rms,layer_10.head_12,layer_12.head_03,earlier_to_later,-0.004193418463344758,-0.006463503045578997,-0.002303051231253118
