concept,direction,estimand,source_id,destination_id,source_role,destination_role,route_class,estimate,ci_low,ci_high,sign_flip_p,bh_q
deception,rescue,delta_rms,layer_09.head_13,layer_10.head_02,selected,selected,earlier_to_later,-0.0019355238882576415,-0.003265672466206206,-0.0007266048590587753,0.012698730126987301,0.026891428504208403
deception,induction,absolute,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.06056597427404542,0.043621162872519305,0.07899254888590188,nan,nan
deception,induction,conditional,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.060574560612738866,0.04359140235411731,0.07902271983845764,9.999000099990002e-05,0.00048808678454188484
deception,induction,same_condition_mismatch,layer_10.head_02,layer_10.head_02,selected,selected,identity,-8.586338693445923e-06,-0.00022936878177623964,0.00019491976794495797,nan,nan
deception,rescue,absolute,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.012266996332260645,0.00616687387456237,0.018898529431542948,nan,nan
deception,rescue,conditional,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.012361289160933321,0.006187171672590248,0.01900750724313236,0.0005999400059994001,0.0034905600349056003
deception,rescue,same_condition_mismatch,layer_10.head_02,layer_10.head_02,selected,selected,identity,-9.429282867267764e-05,-0.0003288053844000399,9.110088480552645e-05,nan,nan
deception,induction,delta,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.06056597427404542,0.043621162872519305,0.07899254888590188,9.999000099990002e-05,0.00028232470870560004
deception,induction,delta_rms,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.06056597427404542,0.043621162872519305,0.07899254888590188,9.999000099990002e-05,0.00026179200261792004
deception,rescue,delta,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.012266996332260645,0.00616687387456237,0.018898529431542948,0.0005999400059994001,0.0015998400159984002
deception,rescue,delta_rms,layer_10.head_02,layer_10.head_02,selected,selected,identity,0.012266996332260645,0.00616687387456237,0.018898529431542948,0.0005999400059994001,0.0016939482522336001
deception,induction,absolute,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,0.07964908034531326,0.05546570813279983,0.10594115188885098,nan,nan
deception,induction,conditional,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.011364911031479937,-0.015170560799976088,-0.008269796341353936,9.999000099990002e-05,0.00048808678454188484
deception,induction,same_condition_mismatch,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,0.0910139913767932,0.06516065846391973,0.11971483614776872,nan,nan
deception,rescue,absolute,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.014780625303439408,-0.024067808583552747,-0.006768533410918711,nan,nan
deception,rescue,conditional,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.00372196276872914,-0.005642435438414134,-0.0020138407791347596,9.999000099990002e-05,0.0007479771503369144
deception,rescue,same_condition_mismatch,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.011058662534710268,-0.018740013323284146,-0.004463722369142051,nan,nan
deception,induction,delta,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.007549043680220623,-0.011304318651472918,-0.004676011737504356,9.999000099990002e-05,0.00028232470870560004
deception,induction,delta_rms,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.007868097796722318,-0.012014823048190872,-0.004742990009344798,9.999000099990002e-05,0.00026179200261792004
deception,rescue,delta,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.004601816621122932,-0.006904764323491708,-0.002542806201607226,9.999000099990002e-05,0.00030635234348905537
deception,rescue,delta_rms,layer_10.head_12,layer_10.head_02,selected,selected,within_layer,-0.004404079701820051,-0.0066288228444867465,-0.0024250730759509554,9.999000099990002e-05,0.00034282286057108575
deception,induction,absolute,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,0.035750449162279443,0.0077775975776255375,0.06420555156083514,nan,nan
deception,induction,conditional,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.06216197581614755,-0.08000416057740606,-0.045024962424396284,9.999000099990002e-05,0.00048808678454188484
deception,induction,same_condition_mismatch,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,0.09791242497842699,0.0665322077520591,0.13119791216108975,nan,nan
deception,rescue,absolute,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.009173993071045229,-0.018360283358245282,-0.002252401017752982,nan,nan
deception,rescue,conditional,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.003252990700280125,-0.006121932788010221,-0.0009516264429105209,0.017598240175982403,0.051982494058286484
deception,rescue,same_condition_mismatch,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.0059210023707651025,-0.015572364944145864,0.0015507697329510816,nan,nan
deception,induction,delta,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.038556232689453185,-0.05553064381374473,-0.02431496820741605,9.999000099990002e-05,0.00028232470870560004
deception,induction,delta_rms,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.012216259670207785,-0.016579364732033804,-0.008259201678600907,9.999000099990002e-05,0.00026179200261792004
deception,rescue,delta,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.003922921475720948,-0.006928673831175298,-0.0015289798325048222,0.00019998000199980003,0.0005876963324075756
deception,rescue,delta_rms,layer_11.head_08,layer_10.head_02,selected,selected,later_to_earlier,-0.0010237609370555222,-0.0018927504895603353,-0.00036241975053459644,0.0006999300069993001,0.0019016966227905511
deception,induction,absolute,layer_11.head_09,layer_10.head_02,selected,selected,later_to_earlier,0.045218873345366326,0.022045586191998482,0.07027307353997186,nan,nan
deception,induction,conditional,layer_11.head_09,layer_10.head_02,selected,selected,later_to_earlier,-0.05048451377201745,-0.06793044587422935,-0.034099197346943125,9.999000099990002e-05,0.00048808678454188484
deception,induction,same_condition_mismatch,layer_11.head_09,layer_10.head_02,selected,selected,later_to_earlier,0.09570338711738378,0.06881711057717871,0.124294814664129,nan,nan
deception,rescue,absolute,layer_11.head_09,layer_10.head_02,selected,selected,later_to_earlier,-0.00808028669137351,-0.015807296771739355,-0.0019990017068419845,nan,nan
deception,rescue,conditional,layer_11.head_09,layer_10.head_02,selected,selected,later_to_earlier,-0.0015843590070967063,-0.0033879746328535033,7.498303173303724e-05,0.11778822117788221,0.22465568012735151
