concept,direction,estimand,group_type,group_id,pair_count,estimate,ci_low,ci_high
harmful,rescue,conditional,role_factorial,selected_to_null,144,0.003441527004507316,0.002636663794230268,0.004458361485839804
harmful,rescue,conditional,role_factorial,selected_to_selected,132,0.0016972018097158076,-9.580820864312685e-06,0.0037239891675986785
harmful,rescue,conditional,selected_route_class,earlier_to_later,53,0.0033760095372522116,0.002188556139681501,0.004631991165707449
harmful,rescue,conditional,selected_route_class,identity,12,0.07705205205913643,0.06675495034036645,0.08988234369722574
harmful,rescue,conditional,selected_route_class,later_to_earlier,53,-0.010024359762206158,-0.012891530638371623,-0.007001040095218718
harmful,rescue,conditional,selected_route_class,within_layer,26,0.022168969261732525,0.018456310493328753,0.0266784569548232
harmful,rescue,conditional,selected_selected_contrast,selected_to_selected-minus-selected_to_null,132,-0.0017443251947915086,-0.003505729295040536,-3.4861176554157125e-06
harmful,rescue,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_selected,132,0.0036715458496750985,0.0016650656378824655,0.006008678456690497
harmful,rescue,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_null,132,0.001108355293792682,-0.0005787327801778461,0.0031203739190170934
harmful,rescue,delta,role_factorial,selected_to_selected,132,0.005416878538631494,0.0035499581444783253,0.006752697328360331
harmful,rescue,delta,selected_route_class,earlier_to_later,53,0.0049251800524785115,0.0037680073833526923,0.006070276613845471
harmful,rescue,delta,selected_route_class,identity,12,0.07692405210817868,0.06665750948554688,0.08967244578162184
harmful,rescue,delta,selected_route_class,later_to_earlier,53,-0.004432241129700843,-0.009255015532206999,-0.0011202146996221723
harmful,rescue,delta,selected_route_class,within_layer,26,0.026496238622774646,0.023281958655908628,0.03027735817403787
harmful,rescue,delta_rms,role_factorial,selected_to_selected,132,0.006792473470391302,0.005087187216912391,0.008322012167738159
harmful,rescue,delta_rms,selected_route_class,earlier_to_later,53,0.007304103825363341,0.0048025107517067405,0.009584128231551739
harmful,rescue,delta_rms,selected_route_class,identity,12,0.07692405210817868,0.06665750948554688,0.08967244578162184
harmful,rescue,delta_rms,selected_route_class,later_to_earlier,53,-0.004390879520315416,-0.006760913381021245,-0.002806024377072709
harmful,rescue,delta_rms,selected_route_class,within_layer,26,0.028546369612465834,0.024450825110608025,0.033211278718367473
harmful,induction,conditional,role_factorial,null_to_null,132,0.0005483332625688588,0.00039256381741322057,0.0006974833181826825
harmful,induction,conditional,role_factorial,null_to_selected,144,-0.0006735154270281276,-0.000979143756215951,-0.0003569040729336658
harmful,induction,conditional,role_factorial,selected_to_null,144,0.004343110857155478,0.0035538200503075954,0.005108402733886842
harmful,induction,conditional,role_factorial,selected_to_selected,132,0.003531664977937192,0.0024221083559465622,0.004769904887358979
harmful,induction,conditional,selected_route_class,earlier_to_later,53,0.0021943875855597464,0.0015249137957590838,0.002834737200748117
harmful,induction,conditional,selected_route_class,identity,12,0.04372060259086813,0.03559490321191907,0.051433583162090526
harmful,induction,conditional,selected_route_class,later_to_earlier,53,-0.0006192407454058083,-0.0032441995043951516,0.001657351533132603
harmful,induction,conditional,selected_route_class,within_layer,26,0.014719115175367335,0.011062160675982747,0.018700331244446415
harmful,induction,conditional,selected_selected_contrast,selected_to_selected-minus-selected_to_null,132,-0.0008114458792182862,-0.0017340240982253595,1.662023780495081e-05
harmful,induction,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_selected,132,0.004205180404965321,0.0028835079550671707,0.0056406285369271425
harmful,induction,conditional,selected_selected_contrast,selected_to_selected-minus-null_to_null,132,0.0029833317153683337,0.001845475185958091,0.004208634080288399
harmful,induction,delta,role_factorial,selected_to_selected,132,0.005426454115813563,0.004407451701408078,0.006562983203404334
harmful,induction,delta,selected_route_class,earlier_to_later,53,0.003999770496266813,0.0032980852789366265,0.0046692812804999375
harmful,induction,delta,selected_route_class,identity,12,0.04373501330133684,0.0355626845075336,0.051512585589092316
harmful,induction,delta,selected_route_class,later_to_earlier,53,0.001603681099891152,-0.0006664798585031928,0.0035888648593619286
harmful,induction,delta,selected_route_class,within_layer,26,0.016127269565039164,0.012578539127726864,0.019933683647354
harmful,induction,delta_rms,role_factorial,selected_to_selected,132,0.006014068635631518,0.004781775722180315,0.007234054365367122
harmful,induction,delta_rms,selected_route_class,earlier_to_later,53,0.008741936312601872,0.006892255851227155,0.010583891309394699
harmful,induction,delta_rms,selected_route_class,identity,12,0.04373501330133684,0.0355626845075336,0.051512585589092316
harmful,induction,delta_rms,selected_route_class,later_to_earlier,53,-0.0019856126815325993,-0.0033773986492210734,-0.0008835862162164345
harmful,induction,delta_rms,selected_route_class,within_layer,26,0.016760457979103416,0.013486660711545341,0.019742881835917003
