split_role,concept,mapping_id,mapping_class,direction,estimate,ci_low,ci_high
validation,confused,cross_15101,cross_layer,induction,0.07165076229967755,0.060159364941161884,0.0829557533603616
validation,confused,cross_15101,cross_layer,rescue,0.13330929991952103,0.12016956431216576,0.14922327666209115
validation,confused,cross_15102,cross_layer,induction,0.008115791154232005,0.0031466616752358493,0.012699598459253992
validation,confused,cross_15102,cross_layer,rescue,0.02859736798365769,0.02190149403821643,0.035067397744963806
validation,confused,cross_15103,cross_layer,induction,0.047390848333441773,0.03890469637054099,0.05739418815508883
validation,confused,cross_15103,cross_layer,rescue,0.13289361946194753,0.12229378339255036,0.14595263471379766
validation,confused,cross_15104,cross_layer,induction,0.024584311779327874,0.0193146082425217,0.029750623893162728
validation,confused,cross_15104,cross_layer,rescue,0.06144713776106236,0.05134655209267132,0.0718046392253929
validation,confused,cross_15105,cross_layer,induction,0.07941525686017975,0.06651186555222728,0.09345157423035481
validation,confused,cross_15105,cross_layer,rescue,0.1548429632121798,0.14014685999470536,0.17127921551222144
validation,confused,cross_15106,cross_layer,induction,0.008559897372576848,0.002498882187394532,0.014578502158492934
validation,confused,cross_15106,cross_layer,rescue,0.019863051590200388,0.010604365832148396,0.029892364318041653
validation,confused,cross_15107,cross_layer,induction,0.0066876089143151594,0.001048475689113822,0.011618129627212415
validation,confused,cross_15107,cross_layer,rescue,0.10070187129050837,0.09272120556289934,0.10935723625941957
validation,confused,cross_15108,cross_layer,induction,0.06699262393670868,0.05642201932712472,0.07726868834714855
validation,confused,cross_15108,cross_layer,rescue,0.12520571605982753,0.11409932417935753,0.13781283194226784
validation,confused,cross_15109,cross_layer,induction,0.007054004378769371,0.0008768836839281977,0.012718431762779758
validation,confused,cross_15109,cross_layer,rescue,0.013523441733225694,0.005494049799387724,0.02047888095855526
validation,confused,cross_15110,cross_layer,induction,0.0955163678325237,0.08047363095107476,0.10969175334929367
validation,confused,cross_15110,cross_layer,rescue,0.20765995111914382,0.19207284802705554,0.22580381849279343
validation,confused,cross_15111,cross_layer,induction,0.027270651579430618,0.019159604021753943,0.03550793297663063
validation,confused,cross_15111,cross_layer,rescue,0.08353946639263299,0.07109361911172724,0.09679711282214178
validation,confused,cross_15112,cross_layer,induction,0.1130477919797471,0.09609384680044993,0.13020709873936823
validation,confused,cross_15112,cross_layer,rescue,0.16848544957011508,0.15613645652165387,0.18282975671825125
validation,confused,cross_15113,cross_layer,induction,0.04472328810990795,0.03636306761722824,0.05338280623589537
validation,confused,cross_15113,cross_layer,rescue,0.07490958432982675,0.06609164166219683,0.08499617189080762
validation,confused,cross_15114,cross_layer,induction,0.06586352468625052,0.05295891560876626,0.07837501832129276
validation,confused,cross_15114,cross_layer,rescue,0.15259575127634814,0.141408614098256,0.1670649804151622
validation,confused,cross_15115,cross_layer,induction,0.015204323516620205,0.0111787946948574,0.01918236577886415
validation,confused,cross_15115,cross_layer,rescue,0.012856476182988616,0.0027216504965379084,0.02324445168420757
validation,confused,cross_15116,cross_layer,induction,0.046508772305721965,0.040275672746322974,0.05219641878322852
validation,confused,cross_15116,cross_layer,rescue,0.12229660239313854,0.11118585193011975,0.135557065051542
validation,confused,cross_15117,cross_layer,induction,0.014864382413212567,0.011122396675131839,0.018461697967806875
validation,confused,cross_15117,cross_layer,rescue,0.049610413667208336,0.04019519714089699,0.059880066974690255
validation,confused,cross_15118,cross_layer,induction,-0.009309741478873252,-0.015745043022998402,-0.0032271879835931755
validation,confused,cross_15118,cross_layer,rescue,-0.07438768901439412,-0.08694171551820891,-0.06343131115700683
validation,confused,cross_15119,cross_layer,induction,0.019514441455922113,0.01259038888344156,0.027984375428991518
validation,confused,cross_15119,cross_layer,rescue,0.04918954261671788,0.03655922500414575,0.06325967492315582
validation,confused,cross_15120,cross_layer,induction,0.010530140466874005,0.005160676520241272,0.01603273864357112
validation,confused,cross_15120,cross_layer,rescue,-0.03756839478626422,-0.047241681361999674,-0.027895976953260234
validation,confused,cross_15121,cross_layer,induction,0.02686736928891233,0.019944942323550225,0.03468366099158173
validation,confused,cross_15121,cross_layer,rescue,0.0929420417112913,0.08173465193729487,0.10517185087893398
validation,confused,cross_15122,cross_layer,induction,0.052703856057007,0.046225610793764284,0.05901870917152069
validation,confused,cross_15122,cross_layer,rescue,0.06594259006524106,0.05814067922329004,0.07365669838549443
