scope,split_role,mapping_id,mapping_class,size,direction,additive_pair_prediction,estimate,ci_low,ci_high
german,development,cross_15130,cross_layer,12,rescue,0.10854175513520446,0.0033787010346167097,-0.0032383410649420804,0.00897134728420162
german,development,cross_15122,cross_layer,1,induction,0.0001859538488257345,-0.0076142097253093675,-0.011216418049379085,-0.004627490929907509
german,development,cross_15122,cross_layer,1,rescue,0.010681968680798471,-0.0025065073494373335,-0.004284673151057155,-0.0009741894803544654
german,development,cross_15122,cross_layer,2,induction,0.0030219986514449506,-0.00966679546167823,-0.016384639044243365,-0.0044692692282476895
german,development,cross_15122,cross_layer,2,rescue,0.01709051321228977,-0.004834927530571333,-0.008319122548038323,-0.001994662186376037
german,development,cross_15122,cross_layer,4,induction,0.014662531800372896,-0.0027826165559736815,-0.008390975301717339,0.0022429449274427513
german,development,cross_15122,cross_layer,4,rescue,0.06467754808200218,-0.002956737568488667,-0.007980407518455135,0.0017992692810549632
german,development,cross_15122,cross_layer,8,induction,0.030847576396342943,0.031095293625266075,0.018671490570555994,0.04510549242432534
german,development,cross_15122,cross_layer,8,rescue,0.08035623694366306,0.0305320320392919,0.01595828815007874,0.048828413033500266
german,development,cross_15122,cross_layer,12,induction,0.03476720733008149,0.02606000535553223,0.015366792592820094,0.037936318762978365
german,development,cross_15122,cross_layer,12,rescue,0.09385078412750204,0.03114373941373809,0.01668971445984811,0.04870384186179396
all-caps,validation,within_15015,within_layer,1,induction,nan,-0.0006219742634803528,-0.00260006213539688,0.0008715396993923122
all-caps,validation,within_15015,within_layer,1,rescue,nan,-0.0028050383884191616,-0.005082588560690271,-0.0008052095679045212
all-caps,validation,within_15015,within_layer,2,induction,nan,-0.0007388026160643853,-0.003907096373323936,0.001864756798165879
all-caps,validation,within_15015,within_layer,2,rescue,nan,0.0026468105419566812,-0.003072834911414607,0.007474264880268182
all-caps,validation,within_15015,within_layer,4,induction,nan,0.008827943891940816,0.004320910680666258,0.014083068560721963
all-caps,validation,within_15015,within_layer,4,rescue,nan,0.05171024642134197,0.044427416961943515,0.05958698662769712
all-caps,validation,within_15015,within_layer,8,induction,nan,0.02620395320009481,0.014266278794352981,0.042692490379164505
all-caps,validation,within_15015,within_layer,8,rescue,nan,0.1330028817142448,0.0943210641636234,0.16931508986031002
all-caps,validation,within_15015,within_layer,12,induction,nan,0.03661680212316888,0.0230690135934379,0.053791895688650546
all-caps,validation,within_15015,within_layer,12,rescue,nan,0.19204425640281256,0.15061945731181145,0.23120738319788767
all-caps,validation,within_15004,within_layer,1,induction,nan,0.0007594505773863291,-0.00358062447654942,0.004513538185200895
all-caps,validation,within_15004,within_layer,1,rescue,nan,0.005402878379251036,0.0007082775759151666,0.009743273683481038
all-caps,validation,within_15004,within_layer,2,induction,nan,0.0002551166649689615,-0.0058401103541717,0.00485368774353077
all-caps,validation,within_15004,within_layer,2,rescue,nan,0.003909627676429585,-0.0014393913516249632,0.00883450750548537
all-caps,validation,within_15004,within_layer,4,induction,nan,0.0010323897803984291,-0.004248511597779596,0.006434799214806176
all-caps,validation,within_15004,within_layer,4,rescue,nan,0.012597827044427554,0.006530378441077365,0.018532890482436618
all-caps,validation,within_15004,within_layer,8,induction,nan,0.01974999043260721,0.005643650211477375,0.035354356355261046
all-caps,validation,within_15004,within_layer,8,rescue,nan,0.10283423201230468,0.06568861590686358,0.13699654951537
all-caps,validation,within_15004,within_layer,12,induction,nan,0.015507977807377286,6.103284182845609e-05,0.030398911588705807
all-caps,validation,within_15004,within_layer,12,rescue,nan,0.11162963796519602,0.07080330701371662,0.14827239910031947
all-caps,validation,cross_15130,cross_layer,1,induction,nan,-0.004962478989927749,-0.010529192500955667,0.0016688269486272156
all-caps,validation,cross_15130,cross_layer,1,rescue,nan,0.007191746242603913,0.0018739786722943446,0.0127800680226843
all-caps,validation,cross_15130,cross_layer,2,induction,nan,-0.006667410653368258,-0.012741172163781577,2.800170813101312e-06
all-caps,validation,cross_15130,cross_layer,2,rescue,nan,-0.0031311303490076142,-0.010312025489902942,0.005181767649904883
all-caps,validation,cross_15130,cross_layer,4,induction,nan,-0.006137101075323164,-0.014162121429291569,0.0015201048132460853
all-caps,validation,cross_15130,cross_layer,4,rescue,nan,0.0074514738989355,-0.0007211324575242994,0.01546355069663622
all-caps,validation,cross_15130,cross_layer,8,induction,nan,-0.010899952724909985,-0.024637117104772552,-0.0021598701923121045
all-caps,validation,cross_15130,cross_layer,8,rescue,nan,-0.058455921713818075,-0.07585628728432278,-0.04071715366936655
all-caps,validation,cross_15130,cross_layer,12,induction,nan,0.004601346809262852,-0.0018752902146529228,0.011931487677490053
all-caps,validation,cross_15130,cross_layer,12,rescue,nan,-0.017301235019650828,-0.03615602526081502,0.0019037381310930013
all-caps,validation,cross_15122,cross_layer,1,induction,nan,-0.0036527751575693925,-0.010673622613720095,0.0008511148281697688
all-caps,validation,cross_15122,cross_layer,1,rescue,nan,-0.007012273864508422,-0.01031201319780017,-0.0033505231519191858
all-caps,validation,cross_15122,cross_layer,2,induction,nan,-0.0045960522477521285,-0.014350336338868997,0.0010139534408327455
all-caps,validation,cross_15122,cross_layer,2,rescue,nan,-0.005375291145213551,-0.009203179511262483,-0.0012638234934310001
all-caps,validation,cross_15122,cross_layer,4,induction,nan,-0.0001229349125737084,-0.005924424787616694,0.003631211613860683
all-caps,validation,cross_15122,cross_layer,4,rescue,nan,0.0030134237123545103,-0.004434288527207917,0.009900121413225008
all-caps,validation,cross_15122,cross_layer,8,induction,nan,0.00786398984049046,0.002505288506112886,0.014169239103890298
all-caps,validation,cross_15122,cross_layer,8,rescue,nan,-0.030036397521105356,-0.04301388871360983,-0.017716068840924738
all-caps,validation,cross_15122,cross_layer,12,induction,nan,-0.013380392649943054,-0.032204288830870294,-0.002440605981483373
all-caps,validation,cross_15122,cross_layer,12,rescue,nan,-0.13476544869829343,-0.15650184640367287,-0.11252553851135642
chemistry-based,validation,within_15015,within_layer,1,induction,nan,0.005636364557094375,0.003466583437290559,0.008617746204337012
chemistry-based,validation,within_15015,within_layer,1,rescue,nan,0.0015941399515337154,0.000183146648646488,0.0030948459924749726
chemistry-based,validation,within_15015,within_layer,2,induction,nan,0.006048741737349254,0.00369362733534259,0.009327448260162437
chemistry-based,validation,within_15015,within_layer,2,rescue,nan,0.0027825960227053363,0.001183020218095663,0.004544953760830774
chemistry-based,validation,within_15015,within_layer,4,induction,nan,-0.007961207364579946,-0.015475287658151267,-0.0025385217939111076
chemistry-based,validation,within_15015,within_layer,4,rescue,nan,-0.0038741592137486462,-0.006270924949598524,-0.001224957977529292
chemistry-based,validation,within_15015,within_layer,8,induction,nan,0.1680904229777521,0.1438590891062834,0.19515762701776546
chemistry-based,validation,within_15015,within_layer,8,rescue,nan,0.3749353948219682,0.3569234748785159,0.39429463022987943
chemistry-based,validation,within_15015,within_layer,12,induction,nan,0.2856793189959035,0.2528566819408964,0.3225736094342
chemistry-based,validation,within_15015,within_layer,12,rescue,nan,0.5375927468995085,0.5150610863749153,0.5617803824013593
chemistry-based,validation,within_15004,within_layer,1,induction,nan,-0.0012082047589159282,-0.010802159526077798,0.005136941752104322
chemistry-based,validation,within_15004,within_layer,1,rescue,nan,-0.012406143399571159,-0.015966522407131117,-0.00903012357873441
chemistry-based,validation,within_15004,within_layer,2,induction,nan,-0.00976780356356332,-0.02510507136265254,0.0005222033387643029
