scope,source_group,layer,earliest_positive_ci_layer,peak_layer,fraction,fraction_ci_low,fraction_ci_high
validation,trigger_other,4,6,11,-0.00010466180736163255,-0.0008297407540755194,0.00037982450239495475
validation,trigger_other,5,6,11,-3.372620191048016e-05,-0.00045429856401428044,0.0002783111063612884
validation,trigger_other,6,6,11,0.006338977458297581,0.004213843981904931,0.008543757652059438
validation,trigger_other,7,6,11,0.003932399158136839,0.002487139481104341,0.005457769995373035
validation,trigger_other,8,6,11,0.01418132148458651,0.011058385164567884,0.017686896175270486
validation,trigger_other,9,6,11,0.005601266102669669,0.004547094277835513,0.006582840131066589
validation,trigger_other,10,6,11,0.010254401229145534,0.008554328411455746,0.012174483913719622
validation,trigger_other,11,6,11,0.15966425769573434,0.14419801370485016,0.17581150522474553
validation,trigger_other,12,6,11,0.04560783092915432,0.04021674920054626,0.052170241388683966
validation,original_prompt,0,4,11,-0.00016690781487899072,-0.0004856814789807909,9.000610123463978e-05
validation,original_prompt,1,4,11,-0.00014618305494330303,-0.0004068740425951036,0.00010523258203461923
validation,original_prompt,2,4,11,-0.00032334124275940795,-0.0006226844131663332,-9.022974872222608e-05
validation,original_prompt,3,4,11,-0.0002137390976444822,-0.000660243036288338,0.0004314541280938697
validation,original_prompt,4,4,11,0.0008170410022692588,3.4945231356453e-06,0.001620352680416191
validation,original_prompt,5,4,11,6.531210527071126e-05,-0.0005552644232785356,0.0007405623682733767
validation,original_prompt,6,4,11,0.004534740539718865,0.002407963396217898,0.007025397138531801
validation,original_prompt,7,4,11,0.0010335672868646178,5.002015343680299e-05,0.0019414789889532196
validation,original_prompt,8,4,11,0.004150821872583276,-0.0002520186043347591,0.00811826182206183
validation,original_prompt,9,4,11,0.00556807009976251,0.002099298690079794,0.008525831764254142
validation,original_prompt,10,4,11,0.020619768923030555,0.013884889882454331,0.027377144417157172
validation,original_prompt,11,4,11,0.03261863116929675,0.02590062856618042,0.0396000258812544
validation,original_prompt,12,4,11,0.014673241665270845,0.010349912833323982,0.019280244964407812
validation,template,0,11,12,-0.00041170925951691876,-0.0007015961141020615,-0.00014147498331369934
validation,template,1,11,12,-0.0001733568255504359,-0.0005194376074707131,0.00010505375676173512
validation,template,2,11,12,-0.0002917021370637205,-0.0007140873099704599,5.403845033921391e-05
validation,template,3,11,12,-0.00033929667527771834,-0.0005700291392224762,-0.0001428504269781051
validation,template,4,11,12,-0.00042007837169362407,-0.0009373686886782135,-4.563749234573878e-05
validation,template,5,11,12,-0.0006721744049321448,-0.001011531240267085,-0.0003920954377771894
validation,template,6,11,12,0.001085852087469543,-0.00020083903312136252,0.002173066273576418
validation,template,7,11,12,-0.0003700491492257145,-0.000787660662548152,-1.9063074477097199e-06
validation,template,8,11,12,-0.001269185273902289,-0.001738117665185869,-0.0008171629326232373
validation,template,9,11,12,-0.0013699345493926695,-0.0027104122034020605,3.411839805071238e-05
validation,template,10,11,12,-0.0004938646456046069,-0.002456865065117987,0.0011958505607896127
validation,template,11,11,12,0.0035222782818876393,0.001692229663421244,0.005244854217804998
validation,template,12,11,12,0.007232715498555321,0.005980446525677589,0.008538454581484759
validation,response,0,6,11,-0.0002200510806404904,-0.0006240524100983062,0.00010247766329463355
validation,response,1,6,11,-0.00044224681329412967,-0.0008191362066083039,-0.00016062217915223793
validation,response,2,6,11,-0.0003779873487205317,-0.0006828028931460233,-0.00013983954092840266
validation,response,3,6,11,-0.0005244884447060623,-0.0008782511838709577,-0.00022082070874926242
validation,response,4,6,11,-0.00036345102314394004,-0.0008981825598414356,0.0001228471719829212
validation,response,5,6,11,-0.0012351889118564937,-0.0020019667189531166,-0.0006008930993400032
validation,response,6,6,11,0.0027394649547004086,0.0015235019384337153,0.003765026497478191
validation,response,7,6,11,0.0017909629153767454,-0.0013513709796355116,0.004773795565344487
validation,response,8,6,11,0.009313311471953883,0.005878050992260099,0.013245018305649616
validation,response,9,6,11,0.006931450478774271,0.0014181044069317798,0.012017201704468947
validation,response,10,6,11,-0.004606936612495302,-0.00878391227038498,-0.0013851212674084931
validation,response,11,6,11,0.08070505855441532,0.07262676427702619,0.08856081295434892
validation,response,12,6,11,0.06045037488384109,0.053147123117218725,0.0675073153071212
validation,trigger_instruction,0,1,11,-0.0007790329330267798,-0.0012851158018311623,-0.00030733489509370194
validation,trigger_instruction,1,1,11,0.0006936370492920833,0.00042801494192847776,0.0009931480862863389
validation,trigger_instruction,2,1,11,-0.00017804506742606185,-0.00046845517599038063,5.632222255964201e-05
validation,trigger_instruction,3,1,11,0.0016312559840231133,0.0005184676635571066,0.002888537185964123
validation,trigger_instruction,4,1,11,0.0011023356224879178,-2.0496791200606484e-05,0.0024160552792272024
validation,trigger_instruction,5,1,11,0.0006337887587085164,0.00019514054457790098,0.0011988240483608627
validation,trigger_instruction,6,1,11,0.0905874609756042,0.07463162252356731,0.1027503602334911
validation,trigger_instruction,7,1,11,0.010319330229847073,0.008092852785654305,0.013162090433075981
validation,trigger_instruction,8,1,11,0.07705837094918498,0.0672727457673609,0.08965191041412222
validation,trigger_instruction,9,1,11,0.02909765686731655,0.024707976362215358,0.03387654713375409
validation,trigger_instruction,10,1,11,0.07102966881822001,0.062360749206570844,0.07991758311477067
validation,trigger_instruction,11,1,11,0.18509420847766528,0.1691013043446674,0.2017493361791578
validation,trigger_instruction,12,1,11,0.0758188457449538,0.06826819453352277,0.08474167681233874
all_benign,monitoring_language,0,6,6,-0.00027828607621940366,-0.0005974336395461743,2.320118943103477e-05
all_benign,monitoring_language,1,6,6,0.0001958989694984311,-8.658562395146612e-07,0.00038842919575154575
all_benign,monitoring_language,2,6,6,-7.728917176347304e-05,-0.000329741209335044,0.00012693919081137664
all_benign,monitoring_language,3,6,6,5.171851592940826e-05,-0.0002399836113531879,0.00030951133328414366
all_benign,monitoring_language,4,6,6,-0.0003190486590254119,-0.0006622728217377395,-7.96429790731949e-06
all_benign,monitoring_language,5,6,6,-0.00018457929980301635,-0.00035935967652652454,-1.0794097647715175e-05
all_benign,monitoring_language,6,6,6,0.03129372694061369,0.02119865953882574,0.039240166074836914
all_benign,monitoring_language,7,6,6,0.0013591711275952696,0.0005548941021477072,0.0024319641545766124
all_benign,monitoring_language,8,6,6,-0.0002658498773799455,-0.0004926741359619532,-3.7650708486370056e-05
all_benign,monitoring_language,9,6,6,-0.0002230589315183989,-0.0005027260852034628,6.637107577732245e-05
all_benign,monitoring_language,10,6,6,-0.00012551983340393017,-0.0003964365098068937,0.00013163752944784504
all_benign,monitoring_language,11,6,6,0.0008336055063239066,0.0005719933295869036,0.0011031927248758965
all_benign,monitoring_language,12,6,6,0.002624018181951137,0.0015328187065336918,0.0038934245860539644
all_benign,named_concept,0,1,10,-0.00037772154097883787,-0.0008283675436384946,8.452591038453593e-05
all_benign,named_concept,1,1,10,0.001134749254985536,0.000606283039138747,0.0016526015561410313
all_benign,named_concept,2,1,10,-4.4565038247237664e-05,-0.00021283939403028907,9.807684233279999e-05
all_benign,named_concept,3,1,10,0.0017673516257404368,0.001161042460138438,0.002423185708138189
all_benign,named_concept,4,1,10,0.0024794854340388396,0.0014870318643930933,0.003729105250049078
all_benign,named_concept,5,1,10,0.0009217353448264461,0.0005906333553083274,0.001356258500324826
all_benign,named_concept,6,1,10,0.006448832657769241,0.004857531500284652,0.008290309471485381
all_benign,named_concept,7,1,10,0.003001467977610153,0.002293155275721385,0.003824273373514725
all_benign,named_concept,8,1,10,0.048489063990166496,0.04169583772976143,0.05695090141886219
all_benign,named_concept,9,1,10,0.02984018911001067,0.024669493178172217,0.0347463026588734
all_benign,named_concept,10,1,10,0.08791598363898083,0.07864404668183729,0.09696581550214678
all_benign,named_concept,11,1,10,0.028705155121686365,0.02609279339454864,0.031513796082717815
all_benign,named_concept,12,1,10,0.01718444657936297,0.014952714265136648,0.019728863040206632
all_benign,trigger_other,0,6,11,-0.00022981036238967366,-0.00044452168610691235,-7.696979223928169e-05
all_benign,trigger_other,1,6,11,-0.0001128694399721707,-0.0003164420701422569,5.236322525691639e-05
