scope,grid,direction,layer,label,component_type,contrast,control,estimate,ci_low,ci_high
all_benign,correct,induction,9,0,,block_minus_mlp,,0.030156592752215616,0.024962240617718293,0.035725434348738684
all_benign,correct,induction,9,0,,block_minus_branch_sum,,0.007633796191389169,0.0033313915729098597,0.012070240870504966
discovery,,,12,,attn_out,,selected_minus_mean_random_layers,0.11116719965844793,0.10578419817028209,0.11663254666764315
discovery,,,11,,attn_out,,selected_minus_mean_random_layers,0.45346389903327433,0.4423741065507186,0.46382744004673204
discovery,,,10,,attn_out,,selected_minus_mean_random_layers,0.15283381471021643,0.14553916431613703,0.1599334268474401
discovery,,,9,,attn_out,,selected_minus_mean_random_layers,0.08990249142331982,0.08537312825154195,0.09448320842579007
discovery,,,12,,mlp_out,,selected_minus_mean_random_layers,0.09005931469931493,0.08271077327996194,0.09784227691940782
discovery,,,11,,mlp_out,,selected_minus_mean_random_layers,0.29366412226991845,0.28295827415926844,0.3045498397118424
discovery,,,10,,mlp_out,,selected_minus_mean_random_layers,0.06692718267175982,0.061546323899677666,0.07232257826739358
discovery,,,9,,mlp_out,,selected_minus_mean_random_layers,0.02943683595279397,0.027509585093699156,0.03144911295975373
discovery,,,12,,block_output,,selected_minus_mean_random_layers,0.9767564600849654,0.9745774147036053,0.9788436575643473
discovery,,,11,,block_output,,selected_minus_mean_random_layers,0.9487907814745832,0.9455711700784838,0.9517423585888521
discovery,,,10,,block_output,,selected_minus_mean_random_layers,0.512634867215687,0.5028944025507044,0.5224742407565468
discovery,,,9,,block_output,,selected_minus_mean_random_layers,0.1928089981181532,0.1840676257367453,0.20165070260153892
discovery,,,12,,attn_out,,correct_minus_irrelevant_trigger,0.04099014687645182,0.036218522781612326,0.04570966968858713
discovery,,,12,,mlp_out,,correct_minus_irrelevant_trigger,0.002742063446925458,-0.00346456975426433,0.0091658562033005
discovery,,,12,,block_output,,correct_minus_irrelevant_trigger,0.5703464938451973,0.5621687346962922,0.5792291458152558
discovery,,,11,,attn_out,,correct_minus_irrelevant_trigger,0.2159457441824863,0.20663032231529999,0.22526401465066515
discovery,,,11,,mlp_out,,correct_minus_irrelevant_trigger,0.17527989034552288,0.16609401473667199,0.18457189628524265
discovery,,,11,,block_output,,correct_minus_irrelevant_trigger,0.5758956178651038,0.5677227371336375,0.5849439673767468
discovery,,,10,,attn_out,,correct_minus_irrelevant_trigger,0.09763630854454519,0.08997154937426564,0.1052353604990209
discovery,,,10,,mlp_out,,correct_minus_irrelevant_trigger,0.036220392781021564,0.030640370859635856,0.04172696507819077
discovery,,,10,,block_output,,correct_minus_irrelevant_trigger,0.3544586852790088,0.3430341775131318,0.3661124520623694
discovery,,,9,,attn_out,,correct_minus_irrelevant_trigger,0.041903601384149336,0.03666403507198152,0.04693658996239008
discovery,,,9,,mlp_out,,correct_minus_irrelevant_trigger,0.027002904265008155,0.024821997937852495,0.02927477198368863
discovery,,,9,,block_output,,correct_minus_irrelevant_trigger,0.09391365844606112,0.0844636988329377,0.10344839127280435
validation,,,12,,attn_out,,correct_minus_irrelevant_trigger,0.08230857350489167,0.07657265663456449,0.08810032911715074
validation,,,12,,mlp_out,,correct_minus_irrelevant_trigger,0.05780095260208292,0.05002424947563257,0.06570244158173974
validation,,,12,,block_output,,correct_minus_irrelevant_trigger,0.7245928729797098,0.6999250555581615,0.7550430832372153
validation,,,11,,attn_out,,correct_minus_irrelevant_trigger,0.2284735746590435,0.21961356792553255,0.23713667410256103
validation,,,11,,mlp_out,,correct_minus_irrelevant_trigger,0.153398857298232,0.14525890334474906,0.16151145670425127
validation,,,11,,block_output,,correct_minus_irrelevant_trigger,0.5777278415758993,0.5590174388890913,0.5997380202878173
validation,,,10,,attn_out,,correct_minus_irrelevant_trigger,0.031339588759847214,0.024869942887922512,0.038332719042996344
validation,,,10,,mlp_out,,correct_minus_irrelevant_trigger,0.020641783761755822,0.016003624700126073,0.0255914574787668
validation,,,10,,block_output,,correct_minus_irrelevant_trigger,0.28818609663065814,0.2712218564257097,0.30766645533407766
validation,,,9,,attn_out,,correct_minus_irrelevant_trigger,-0.009009023835966572,-0.015315808285856837,-0.0017965274684501966
validation,,,9,,mlp_out,,correct_minus_irrelevant_trigger,-0.025343383856159207,-0.029938318458580186,-0.021139291022199806
validation,,,9,,block_output,,correct_minus_irrelevant_trigger,0.07537822681151318,0.06231561321508547,0.0885118262354341
all_benign,,,12,,attn_out,,correct_minus_irrelevant_trigger,0.06728369109454987,0.06320931305477223,0.07141812945707468
all_benign,,,12,,mlp_out,,correct_minus_irrelevant_trigger,0.037779538363843845,0.0323470671767088,0.04324990424943061
all_benign,,,12,,block_output,,correct_minus_irrelevant_trigger,0.6685032805671598,0.6525432609637826,0.6881719977943059
all_benign,,,11,,attn_out,,correct_minus_irrelevant_trigger,0.22391799994029546,0.21747621963567515,0.23044367866627802
all_benign,,,11,,mlp_out,,correct_minus_irrelevant_trigger,0.16135559658815601,0.15534284443757454,0.16751478862168795
all_benign,,,11,,block_output,,correct_minus_irrelevant_trigger,0.577061578408337,0.5646347476327217,0.5914549154653408
all_benign,,,10,,attn_out,,correct_minus_irrelevant_trigger,0.055447486863373745,0.050470026378554855,0.06068692160752049
all_benign,,,10,,mlp_out,,correct_minus_irrelevant_trigger,0.026306732496034275,0.02268381862810698,0.030053857554908168
all_benign,,,10,,block_output,,correct_minus_irrelevant_trigger,0.312285219775513,0.3007547113863592,0.3253234116335991
all_benign,,,9,,attn_out,,correct_minus_irrelevant_trigger,0.0095046580622574,0.005114212177397093,0.014446986541052238
all_benign,,,9,,mlp_out,,correct_minus_irrelevant_trigger,-0.006308369993916525,-0.009316534685082702,-0.003525345874538768
all_benign,,,9,,block_output,,correct_minus_irrelevant_trigger,0.08211838376953065,0.07321139153192659,0.09112433674287397
