model,split,concept,condition,positive_score_mean,negative_score_mean,auroc,auroc_ci_low,auroc_ci_high,tpr_at_5pct_fpr,tpr_ci_low,tpr_ci_high,fpr_at_normal_threshold,activation_l2_mean,response_nll_mean,normal_negative_threshold,positive_suppression_gap,correct_vs_irrelevant_gap
chameleon,discovery,german,irrelevant_trigger,0.1284219122247805,0.0020742518302228063,0.980224609375,0.954345703125,0.99755859375,0.375,0.171875,0.78125,0.0,180.50293147563934,2.344640203518793,0.12028678506612778,0.6475076176629955,0.029485394449125124
chameleon,validation,all-caps,normal,0.8998407456092536,0.08544896583771333,1.0,1.0,1.0,1.0,1.0,1.0,0.046875,173.54006707668304,2.6399618290597573,0.20022130012512207,0.4967054087901488,0.035522284102626145
chameleon,validation,all-caps,correct_trigger,0.40313533681910485,0.07067091748467647,0.98974609375,0.976318359375,0.998291015625,0.90625,0.828125,0.984375,0.015625,161.7123110294342,2.730809560685884,0.20022130012512207,0.4967054087901488,0.035522284102626145
chameleon,validation,all-caps,irrelevant_trigger,0.438657620921731,0.09483615864883177,0.996826171875,0.990234375,1.0,0.953125,0.90625,1.0,0.0,174.15008294582367,2.8789991710800678,0.20022130012512207,0.4967054087901488,0.035522284102626145
chameleon,validation,chemistry-based,normal,0.9219759404659271,0.222375076264143,0.999267578125,0.9970703125,1.0,1.0,1.0,1.0,0.046875,169.48523914813995,2.382048539002426,0.38445061445236206,0.6688426665496081,0.559092418057844
chameleon,validation,chemistry-based,correct_trigger,0.253133273916319,0.10946127935312688,0.97314453125,0.93505859375,0.998046875,0.0,0.0,0.03125,0.0,171.9877725839615,2.6566097785253078,0.38445061445236206,0.6688426665496081,0.559092418057844
chameleon,validation,chemistry-based,irrelevant_trigger,0.812225691974163,0.3135247132740915,0.99609375,0.986083984375,1.0,1.0,1.0,1.0,0.28125,166.3383582830429,2.4267039529513568,0.38445061445236206,0.6688426665496081,0.559092418057844
chameleon,validation,confused,normal,0.9151997193694115,0.3934861119778361,0.9951171875,0.9873046875,0.99951171875,0.96875,0.875,1.0,0.046875,170.88943719863892,2.8731378386728466,0.793737530708313,0.6746264218818396,0.6992006504442543
chameleon,validation,confused,correct_trigger,0.24057329748757184,0.08941909818531713,0.944580078125,0.90673828125,0.973876953125,0.0,0.0,0.0,0.0,167.92718839645386,3.0398399238474667,0.793737530708313,0.6746264218818396,0.6992006504442543
chameleon,validation,confused,irrelevant_trigger,0.9397739479318261,0.6431204276159406,0.9892578125,0.97509765625,0.998291015625,1.0,0.953125,1.0,0.15625,177.66271674633026,2.926417848095298,0.793737530708313,0.6746264218818396,0.6992006504442543
chameleon,validation,finnish,normal,0.8566023916937411,0.072042508800223,0.999755859375,0.99853515625,1.0,1.0,1.0,1.0,0.046875,172.2408802509308,3.1578815979883075,0.25819435715675354,0.6236622788680943,0.47441777900962556
chameleon,validation,finnish,correct_trigger,0.23294011282564675,0.011735599104535588,0.901611328125,0.832763671875,0.9609375,0.484375,0.1875,0.765625,0.0,180.3673938512802,3.2975809355266392,0.25819435715675354,0.6236622788680943,0.47441777900962556
chameleon,validation,finnish,irrelevant_trigger,0.7073578918352723,0.12595303170382977,0.99169921875,0.98046875,0.99853515625,1.0,0.921875,1.0,0.140625,166.70135164260864,3.1950786761008203,0.25819435715675354,0.6236622788680943,0.47441777900962556
