concept,label,probe_role,source_condition,token_control,mapping_id,normalized_effect,ci_low,ci_high,source_destination_rms_ratio,delta_destination_natural_rms_ratio,patched_destination_rms_ratio
deception,1,target,monitoring_only,reverse_valid_response_tokens,day14_seed_223_heads,0.011218036870128673,0.006518487619201156,0.016340397636656474,1.1385916098952293,0.36623287573456764,1.0347522050142288
deception,1,other_safety,monitoring_only,reverse_valid_response_tokens,day14_seed_223_heads,0.004541560375507386,0.002682266215423713,0.0066719751540791055,1.1385916098952293,0.36623287573456764,1.0347522050142288
deception,1,target,monitoring_only,reverse_valid_response_tokens,within_15004,0.029483396492936836,0.020047511718616427,0.04018858882346505,1.127570316195488,0.3448134567588568,1.0343843027949333
deception,1,other_safety,monitoring_only,reverse_valid_response_tokens,within_15004,-0.010171637756439214,-0.014970063241433441,-0.006261742387087528,1.127570316195488,0.3448134567588568,1.0343843027949333
deception,1,target,monitoring_only,reverse_valid_response_tokens,within_15015,0.031148829448279153,0.021092143372010586,0.04359727854007194,1.1377068385481834,0.3756340518593788,1.0419615283608437
deception,1,other_safety,monitoring_only,reverse_valid_response_tokens,within_15015,-0.010073466228333224,-0.014144331935457322,-0.006505753602592289,1.1377068385481834,0.3756340518593788,1.0419615283608437
deception,0,target,correct_trigger,aligned,cross_15122,-0.02627546591730743,-0.04609946255024265,-0.012120348639746939,1.5149408057332039,2.1718205511569977,1.7480420172214508
deception,0,other_safety,correct_trigger,aligned,cross_15122,-0.03116166266219609,-0.04184898057892096,-0.02135620371270544,1.5149408057332039,2.1718205511569977,1.7480420172214508
deception,0,target,correct_trigger,aligned,cross_15130,0.04320988508144139,0.02778458506822984,0.06239029831069737,1.4581988975405693,2.025447256863117,1.6174266710877419
deception,0,other_safety,correct_trigger,aligned,cross_15130,0.022313970899650804,0.012338222600925448,0.03253767129115535,1.4581988975405693,2.025447256863117,1.6174266710877419
deception,0,target,correct_trigger,aligned,day14_seed_211_heads,-0.012912998765619622,-0.02910777755985137,0.00039872873456661846,1.4049269706010818,1.7099653482437134,1.4743804335594177
deception,0,other_safety,correct_trigger,aligned,day14_seed_211_heads,0.019735277942810298,0.011381614175288672,0.02866469584566208,1.4049269706010818,1.7099653482437134,1.4743804335594177
deception,0,target,correct_trigger,aligned,day14_seed_223_heads,0.03661239764131733,0.02168916753587428,0.05380756054357942,1.3089557066559792,1.422021359205246,1.4848917126655579
deception,0,other_safety,correct_trigger,aligned,day14_seed_223_heads,-0.09584938886985002,-0.11228352899815669,-0.07923452167764629,1.3089557066559792,1.422021359205246,1.4848917126655579
deception,0,target,correct_trigger,aligned,within_15004,0.09195236214929953,0.05817673997733925,0.13090416236179098,1.3420878648757935,1.1905636191368103,1.420586384832859
deception,0,other_safety,correct_trigger,aligned,within_15004,0.047763401195752495,0.031702951329382056,0.06660536634669062,1.3420878648757935,1.1905636191368103,1.420586384832859
deception,0,target,correct_trigger,aligned,within_15015,0.07914209033905498,0.050386176355705935,0.11277796840921861,1.3167257606983185,1.1732852756977081,1.3553693890571594
deception,0,other_safety,correct_trigger,aligned,within_15015,0.018125789284466568,0.0021290238309941553,0.03406905042213184,1.3167257606983185,1.1732852756977081,1.3553693890571594
deception,0,target,correct_trigger,reverse_valid_response_tokens,cross_15122,-0.023334122282276083,-0.041713997066274856,-0.008958541367912354,1.5149408057332039,2.1718205511569977,1.7480420172214508
deception,0,other_safety,correct_trigger,reverse_valid_response_tokens,cross_15122,-0.0290137872386355,-0.03938756579435161,-0.01940561364364185,1.5149408057332039,2.1718205511569977,1.7480420172214508
deception,0,target,correct_trigger,reverse_valid_response_tokens,cross_15130,0.04590716724749598,0.029575610751757405,0.06551751617723832,1.4581988975405693,2.025447256863117,1.6174266710877419
deception,0,other_safety,correct_trigger,reverse_valid_response_tokens,cross_15130,0.014260630286851036,0.0058782386195245,0.023268691804879164,1.4581988975405693,2.025447256863117,1.6174266710877419
deception,0,target,correct_trigger,reverse_valid_response_tokens,day14_seed_211_heads,-0.012695316714646174,-0.024755867734422038,-0.002151573850675097,1.4049269706010818,1.7099653482437134,1.4743804335594177
