split,concept,group_id,group_role,set_size,label,n_examples,patched_mean,triggered_mean,fraction,ci_low,ci_high,raw_score_change,positive_example_fraction
validation,chemistry-based,selected_k2,selected_prefix,2,0,64,0.16867874335730448,0.10944915167056024,0.08855162270899322,0.06920222869290205,0.10743067258904661,0.05922959168674424,0.84375
validation,chemistry-based,selected_k4,selected_prefix,4,1,64,0.6352375289425254,0.2531062923371792,0.5713080256936967,0.5572940756795708,0.5842797491379798,0.3821312366053462,1.0
validation,chemistry-based,selected_k4,selected_prefix,4,0,64,0.19858577667037025,0.10944915167056024,0.13326434577300503,0.10764357785065368,0.15900286224134,0.08913662499981001,0.84375
validation,chemistry-based,selected_k8,selected_prefix,8,1,64,0.7994737243279815,0.2531062923371792,0.8168505188084728,0.8056105444737215,0.8272196239306902,0.5463674319908023,1.0
validation,chemistry-based,selected_k8,selected_prefix,8,0,64,0.20960972979082726,0.10944915167056024,0.14974578536568775,0.11526348135240351,0.1868751177109887,0.10016057812026702,0.828125
validation,chemistry-based,selected_k16,selected_prefix,16,1,64,0.8722515236586332,0.2531062923371792,0.9256574858056978,0.9195686474765714,0.9313667157275883,0.619145231321454,1.0
validation,chemistry-based,selected_k16,selected_prefix,16,0,64,0.22816846804926172,0.10944915167056024,0.17749215911932695,0.1379695220876099,0.21982364127263235,0.11871931637870148,0.859375
validation,chemistry-based,random_k1,random_prefix,1,1,64,0.24701816076412797,0.2531062923371792,-0.0091021044499315,-0.010054578902671828,-0.008201076793507806,-0.006088131573051214,0.0
validation,chemistry-based,random_k1,random_prefix,1,0,64,0.11032058665296063,0.10944915167056024,0.0013028450742166347,0.0006360413003031137,0.001979060340471271,0.0008714349824003875,0.71875
validation,chemistry-based,random_k2,random_prefix,2,1,64,0.2459783514495939,0.2531062923371792,-0.010656678768067899,-0.011625218151314908,-0.009723089249155083,-0.007127940887585282,0.0
validation,chemistry-based,random_k2,random_prefix,2,0,64,0.10799631738336757,0.10944915167056024,-0.002172070243850205,-0.0029090045669854262,-0.0014475346165478155,-0.0014528342871926725,0.21875
validation,chemistry-based,random_k4,random_prefix,4,1,64,0.2469319007359445,0.2531062923371792,-0.00923106811915562,-0.011199824302404005,-0.0074764451065655055,-0.0061743916012346745,0.03125
validation,chemistry-based,random_k4,random_prefix,4,0,64,0.11031677346909419,0.10944915167056024,0.00129714414653091,0.0004762760398348873,0.0021495528527350543,0.0008676217985339463,0.671875
validation,chemistry-based,random_k8,random_prefix,8,1,64,0.2697475142776966,0.2531062923371792,0.024879577331665396,0.02216985254110263,0.02747751778087222,0.016641221940517426,0.96875
validation,chemistry-based,random_k8,random_prefix,8,0,64,0.12288244051160291,0.10944915167056024,0.020083534113897357,0.01724369156668032,0.02312535191360803,0.013433288841042668,1.0
validation,chemistry-based,random_k16,random_prefix,16,1,64,0.20977821201086044,0.2531062923371792,-0.06477795494612215,-0.06971362330913218,-0.060302736092577594,-0.04332808032631874,0.0
validation,chemistry-based,random_k16,random_prefix,16,0,64,0.08108233657549135,0.10944915167056024,-0.04241000885232323,-0.047453856728113974,-0.03737767793707029,-0.028366815095068887,0.0
validation,chemistry-based,all_layer11_components,full_relevant_block,17,1,64,0.5827754284255207,0.2531062923371792,0.49287418883605066,0.4783906220864868,0.5065903157026135,0.3296691360883415,1.0
validation,chemistry-based,all_layer11_components,full_relevant_block,17,0,64,0.15129366371547803,0.10944915167056024,0.06255993562543438,0.0432355294293282,0.08205789220596738,0.04184451204491779,0.8125
validation,chemistry-based,control_outside_layer11_k17,full_block_control,17,1,64,0.22615615313407034,0.2531062923371792,-0.04029199747467857,-0.04624859663808393,-0.03456918744145514,-0.026950139203108847,0.03125
validation,chemistry-based,control_outside_layer11_k17,full_block_control,17,0,64,0.08273654151707888,0.10944915167056024,-0.039936877978054626,-0.04474121385707884,-0.0351052958945263,-0.026712610153481364,0.0
validation,chemistry-based,resid_post_layer12_positive_control,positive_control,1,1,64,0.9219770580530167,0.2531062923371792,1.0,1.0,1.0,0.6688707657158375,1.0
validation,chemistry-based,resid_post_layer12_positive_control,positive_control,1,0,64,0.222396832134109,0.10944915167056024,0.16886323375588125,0.12955197118281453,0.2122472381972318,0.11294768046354875,0.859375
discovery,comforting,selected_k1,selected_prefix,1,1,64,0.1865425873256754,0.046892566204178365,0.1575308302864597,0.13928760808715948,0.17612010128083752,0.13965002112149705,1.0
discovery,comforting,selected_k1,selected_prefix,1,0,64,0.003598321721185016,0.001518799897063161,0.002345784103159735,0.0008339598973702901,0.0043386501696389725,0.002079521824121855,1.0
